!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
"50,904.90","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2011,171
"45,804.87","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2008,171
"42,350.11","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2017,171
"36,493.02","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2007,171
"30,686.18","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2006,171
"28,087.37","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2000,171
"26,999.44","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1999,171
"25,395.05","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2001,171
"23,002.22","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2005,171
"21,354.69","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2002,171
