!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
"70,574.88","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2010,172
"64,377.41","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2009,172
"62,645.76","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2017,172
"56,289.92","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2008,172
"43,300.66","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2007,172
"39,005.49","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2006,172
"29,554.40","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2005,172
"27,346.91","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2002,172
"26,738.83","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2000,172
"26,418.04","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2001,172
"24,977.04","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1999,172
