!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
3.56,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1997,189
3.45,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1984,189
3.29,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2013,189
2.94,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1988,189
1.96,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1986,189
1.54,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2015,189
1.52,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2004,189
0.81,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2010,189
0.71,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2009,189
0.49,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1992,189
0.47,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1990,189
0.41,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2014,189
0.10,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2008,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2025,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2024,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2023,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2022,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2021,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2020,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2019,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2018,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,2017,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1991,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1975,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1974,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1973,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1972,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1971,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1970,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1969,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1968,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1967,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1966,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1965,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1964,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1963,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1962,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1961,189
,"The data has been sourced from 'The World Bank', compiled by GlobalData and there are no restrictions to reproduce this data.",Egypt,The World Bank,Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator., ,Interest rates: real, ,Number,1960,189
