!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
9.88%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,1979,102
9.67%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,2005,102
9.54%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,1977,102
7.68%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,2010,102
7.60%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,1976,102
7.58%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,1971,102
7.49%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,2006,102
7.37%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,1985,102
6.89%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,1984,102
6.56%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,1999,102
